origin,destination,Year,Month,monthlyTransferMWh
AECI,TVA,2020,6,101362.0
AECI,TVA,2020,7,125556.0
AECI,TVA,2020,8,154161.0
AECI,TVA,2020,9,110765.0
AECI,TVA,2020,10,95800.0
AECI,TVA,2020,11,137819.0
AECI,TVA,2020,12,158620.0
AECI,TVA,2021,1,132000.0
AECI,TVA,2021,2,106968.0
AECI,TVA,2021,3,120373.0
AECI,TVA,2021,4,69366.0
AECI,TVA,2021,5,96668.0
AECI,TVA,2021,6,90793.0
AECI,TVA,2021,7,86832.0
AECI,TVA,2021,8,115750.0
AECI,TVA,2021,9,146077.0
AECI,TVA,2021,10,132717.0
AECI,TVA,2021,11,130639.0
AECI,TVA,2021,12,133552.0
AESO,NWMT,2015,7,3149.0
AESO,NWMT,2015,8,5125.0
AESO,NWMT,2015,9,23225.0
AESO,NWMT,2015,10,33842.0
AESO,NWMT,2015,11,9236.0
AESO,NWMT,2015,12,6734.0
AESO,NWMT,2016,1,4841.0
AESO,NWMT,2016,2,498.0
AESO,NWMT,2016,3,1575.0
AESO,NWMT,2016,4,6095.0
AESO,NWMT,2016,5,9611.0
AESO,NWMT,2016,6,24922.0
AESO,NWMT,2016,7,16295.0
AESO,NWMT,2016,8,33602.0
AESO,NWMT,2016,9,11748.0
AESO,NWMT,2016,10,3067.0
AESO,NWMT,2016,11,12485.0
AESO,NWMT,2016,12,2693.0
AESO,NWMT,2017,1,36724.0
AESO,NWMT,2017,2,20476.0
AESO,NWMT,2017,3,14681.0
AESO,NWMT,2017,4,21204.0
AESO,NWMT,2017,5,10354.0
AESO,NWMT,2017,6,7783.0
AESO,NWMT,2017,7,39645.0
AESO,NWMT,2017,8,78331.0
AESO,NWMT,2017,9,27194.0
AESO,NWMT,2017,10,21267.0
AESO,NWMT,2017,11,5379.0
AESO,NWMT,2017,12,15655.0
AESO,NWMT,2018,1,3234.0
AESO,NWMT,2018,2,1076.0
AESO,NWMT,2018,3,8.0
AESO,NWMT,2018,5,26.0
AESO,NWMT,2018,6,112.0
AESO,NWMT,2018,7,14175.0
AESO,NWMT,2018,8,13235.0
AESO,NWMT,2018,9,4971.0
AESO,NWMT,2018,10,1777.0
AESO,NWMT,2018,11,1514.0
AESO,NWMT,2018,12,5762.0
AESO,NWMT,2019,1,3847.0
AESO,NWMT,2019,2,30655.0
AESO,NWMT,2019,3,20182.0
AESO,NWMT,2019,4,219.0
AESO,NWMT,2019,5,20.0
AESO,NWMT,2019,6,401.0
AESO,NWMT,2019,7,3728.0
AESO,NWMT,2019,8,2420.0
AESO,NWMT,2019,9,2034.0
AESO,NWMT,2019,10,455.0
AESO,NWMT,2019,11,187.0
AESO,NWMT,2019,12,975.0
AESO,NWMT,2020,3,140.0
AESO,NWMT,2020,4,53.0
AESO,NWMT,2020,5,9.0
AESO,NWMT,2020,6,9.0
AESO,NWMT,2020,7,41.0
AESO,NWMT,2020,8,14237.0
AESO,NWMT,2020,9,6272.0
AESO,NWMT,2020,10,1527.0
AESO,NWMT,2020,11,13.0
AESO,NWMT,2020,12,63.0
AESO,NWMT,2021,1,14.0
AESO,NWMT,2021,2,5462.0
AESO,NWMT,2021,4,13.0
AESO,NWMT,2021,5,18.0
AESO,NWMT,2021,6,2266.0
AESO,NWMT,2021,7,7896.0
AESO,NWMT,2021,8,6635.0
AESO,NWMT,2021,9,6988.0
AESO,NWMT,2021,10,63.0
AESO,NWMT,2021,12,13.0
AVA,BPAT,2015,10,131.0
AVA,BPAT,2016,1,49.0
AVA,BPAT,2016,2,1379.0
AVA,BPAT,2016,4,20.0
AVA,BPAT,2016,5,6227.0
AVA,BPAT,2016,6,388.0
AVA,BPAT,2016,9,458.0
AVA,BPAT,2016,10,1643.0
AVA,BPAT,2016,11,33.0
AVA,BPAT,2017,4,4.0
AVA,BPAT,2018,3,34.0
AVA,BPAT,2018,4,767.0
AVA,BPAT,2019,4,7423.0
AVA,BPAT,2019,5,9221.0
AVA,BPAT,2019,6,1913.0
AVA,BPAT,2020,4,3180.0
AVA,BPAT,2020,5,585.0
AVA,BPAT,2020,10,251.0
AVA,BPAT,2021,3,15.0
AVA,BPAT,2021,4,2111.0
AVA,BPAT,2021,5,86084.0
AVA,BPAT,2021,6,3639.0
AVA,CHPD,2015,7,6279.0
AVA,CHPD,2015,8,6785.0
AVA,CHPD,2015,9,1565.0
AVA,CHPD,2015,10,101.0
AVA,CHPD,2015,12,9.0
AVA,CHPD,2016,3,303.0
AVA,CHPD,2016,4,594.0
AVA,CHPD,2016,5,238.0
AVA,CHPD,2016,6,305.0
AVA,CHPD,2016,7,677.0
AVA,CHPD,2016,8,2176.0
AVA,CHPD,2016,9,4804.0
AVA,CHPD,2016,10,17.0
AVA,CHPD,2017,3,3.0
AVA,CHPD,2017,4,230.0
AVA,CHPD,2017,5,100.0
AVA,CHPD,2017,6,638.0
AVA,CHPD,2017,7,352.0
AVA,CHPD,2017,8,1006.0
AVA,CHPD,2017,9,691.0
AVA,CHPD,2017,10,22.0
AVA,CHPD,2018,3,289.0
AVA,CHPD,2018,4,3601.0
AVA,CHPD,2018,5,22.0
AVA,CHPD,2018,7,418.0
AVA,CHPD,2018,8,1575.0
AVA,CHPD,2018,9,2009.0
AVA,CHPD,2018,10,907.0
AVA,CHPD,2018,11,2.0
AVA,CHPD,2019,1,26.0
AVA,CHPD,2019,2,443.0
AVA,CHPD,2019,3,975.0
AVA,CHPD,2019,4,6035.0
AVA,CHPD,2019,5,618.0
AVA,CHPD,2019,6,2976.0
AVA,CHPD,2019,7,2910.0
AVA,CHPD,2019,8,1672.0
AVA,CHPD,2019,9,1444.0
AVA,CHPD,2019,10,180.0
AVA,CHPD,2019,12,3.0
AVA,CHPD,2020,1,36.0
AVA,CHPD,2020,3,650.0
AVA,CHPD,2020,4,6726.0
AVA,CHPD,2020,5,732.0
AVA,CHPD,2020,6,168.0
AVA,CHPD,2020,7,83.0
AVA,CHPD,2020,8,1264.0
AVA,CHPD,2020,9,1143.0
AVA,CHPD,2021,2,21.0
AVA,CHPD,2021,3,1959.0
AVA,CHPD,2021,4,6192.0
AVA,CHPD,2021,5,1714.0
AVA,CHPD,2021,6,48.0
AVA,CHPD,2021,7,1511.0
AVA,CHPD,2021,8,4835.0
AVA,CHPD,2021,9,2870.0
AVA,CHPD,2021,10,5.0
AVA,GCPD,2015,7,15917.0
AVA,GCPD,2015,8,6252.0
AVA,GCPD,2015,9,4777.0
AVA,GCPD,2015,10,5850.0
AVA,GCPD,2015,11,319.0
AVA,GCPD,2015,12,281.0
AVA,GCPD,2016,1,84.0
AVA,GCPD,2016,2,641.0
AVA,GCPD,2016,3,9682.0
AVA,GCPD,2016,4,24833.0
AVA,GCPD,2016,5,23527.0
AVA,GCPD,2016,6,14640.0
AVA,GCPD,2016,7,20715.0
AVA,GCPD,2016,8,13731.0
AVA,GCPD,2016,9,2929.0
AVA,GCPD,2016,10,6813.0
AVA,GCPD,2017,2,21.0
AVA,GCPD,2017,3,1103.0
AVA,GCPD,2017,4,8128.0
AVA,GCPD,2017,5,16480.0
AVA,GCPD,2017,6,14532.0
AVA,GCPD,2017,7,13838.0
AVA,GCPD,2017,8,10962.0
AVA,GCPD,2017,9,4788.0
AVA,GCPD,2017,10,7530.0
AVA,GCPD,2017,11,251.0
AVA,GCPD,2017,12,46.0
AVA,GCPD,2018,1,243.0
AVA,GCPD,2018,2,455.0
AVA,GCPD,2018,3,6576.0
AVA,GCPD,2018,4,25882.0
AVA,GCPD,2018,5,19737.0
AVA,GCPD,2018,6,17486.0
AVA,GCPD,2018,7,20101.0
AVA,GCPD,2018,8,14886.0
AVA,GCPD,2018,9,2882.0
AVA,GCPD,2018,10,5533.0
AVA,GCPD,2018,11,2730.0
AVA,GCPD,2018,12,2633.0
AVA,GCPD,2019,1,290.0
AVA,GCPD,2019,2,37.0
AVA,GCPD,2019,3,78.0
AVA,GCPD,2019,4,13903.0
AVA,GCPD,2019,5,19647.0
AVA,GCPD,2019,6,11668.0
AVA,GCPD,2019,7,20927.0
AVA,GCPD,2019,8,8222.0
AVA,GCPD,2019,9,12822.0
AVA,GCPD,2019,10,16299.0
AVA,GCPD,2020,3,190.0
AVA,GCPD,2020,4,29495.0
AVA,GCPD,2020,5,26054.0
AVA,GCPD,2020,6,12827.0
AVA,GCPD,2020,7,18587.0
AVA,GCPD,2020,8,14802.0
AVA,GCPD,2020,9,7422.0
AVA,GCPD,2020,10,7336.0
AVA,GCPD,2020,11,365.0
AVA,GCPD,2020,12,11341.0
AVA,GCPD,2021,1,11153.0
AVA,GCPD,2021,2,33042.0
AVA,GCPD,2021,3,53283.0
AVA,GCPD,2021,4,61965.0
AVA,GCPD,2021,5,37313.0
AVA,GCPD,2021,6,8275.0
AVA,GCPD,2021,7,11042.0
