origin,destination,Year,Month,Day,monthlyTransferMWh
BPAT,PGE,2018,1,23443,2272862
BPAT,PGE,2018,2,19446,2171085
BPAT,PGE,2018,3,23808,1966632
BPAT,PGE,2018,4,22314,1992949
BPAT,PGE,2018,5,23808,2257183
BPAT,PGE,2018,6,21962,2026300
BPAT,PGE,2018,7,22219,2174770
BPAT,PGE,2018,8,22959,1996473
BPAT,PGE,2018,9,14590,1111513
BPAT,PGE,2018,10,23466,2261019
BPAT,PGE,2018,11,21415,2494509
BPAT,PGE,2018,12,18637,2283769
BPAT,PSEI,2018,1,23808,3676942
BPAT,PSEI,2018,2,19488,3269867
BPAT,PSEI,2018,3,23779,3325325
BPAT,PSEI,2018,4,19800,2623596
BPAT,PSEI,2018,5,22778,2307774
BPAT,PSEI,2018,6,22320,2651303
BPAT,PSEI,2018,7,23808,2117438
BPAT,PSEI,2018,8,23808,2038093
BPAT,PSEI,2018,9,22320,1861996
BPAT,PSEI,2018,10,23808,2785683
BPAT,PSEI,2018,11,22297,3460439
BPAT,PSEI,2018,12,23808,3484292
BPAT,SCL,2018,1,22882,1076229
BPAT,SCL,2018,2,19488,871776
BPAT,SCL,2018,3,23583,874950
BPAT,SCL,2018,4,21724,882955
BPAT,SCL,2018,5,15225,635825
BPAT,SCL,2018,6,12171,503209
BPAT,SCL,2018,7,23314,788791
BPAT,SCL,2018,8,23701,1035621
BPAT,SCL,2018,9,22212,834671
BPAT,SCL,2018,10,23601,713748
BPAT,SCL,2018,11,20812,858189
BPAT,SCL,2018,12,22547,1135262
BPAT,TPWR,2018,1,21737,334486
BPAT,TPWR,2018,2,18896,333941
BPAT,TPWR,2018,3,23298,613436
BPAT,TPWR,2018,4,22134,547847
BPAT,TPWR,2018,5,23204,319053
BPAT,TPWR,2018,6,22154,382954
BPAT,TPWR,2018,7,23779,557662
BPAT,TPWR,2018,8,23625,581734
BPAT,TPWR,2018,9,22320,513656
BPAT,TPWR,2018,10,23808,563575
BPAT,TPWR,2018,11,22074,658829
BPAT,TPWR,2018,12,23796,545337
CEN,CISO,2018,7,667,1377
CEN,CISO,2018,8,30,2
CEN,CISO,2018,9,44,69
CEN,CISO,2018,10,1832,3743
CEN,CISO,2018,11,5512,24267
CEN,CISO,2018,12,8784,68526
CEN,ERCO,2018,1,1081,16999
CEN,ERCO,2018,2,12,276
CEN,ERCO,2018,3,147,203
CEN,ERCO,2018,5,168,1091
CEN,ERCO,2018,6,137,8
CEN,ERCO,2018,7,688,2733
CEN,ERCO,2018,9,275,1800
CEN,ERCO,2018,10,333,463
CEN,ERCO,2018,11,1353,5919
CEN,ERCO,2018,12,786,3764
CFE,CISO,2018,1,4000,14719
CFE,CISO,2018,2,3290,11127
CFE,CISO,2018,3,4352,8352
CFE,CISO,2018,4,2889,7924
CFE,CISO,2018,5,523,2022
CFE,CISO,2018,6,377,424
CHPD,AVA,2018,1,11904,13667
CHPD,AVA,2018,2,9744,13015
CHPD,AVA,2018,3,9146,8426
CHPD,AVA,2018,4,6298,2288
CHPD,AVA,2018,5,11748,9121
CHPD,AVA,2018,6,11160,12818
CHPD,AVA,2018,7,9268,6568
CHPD,AVA,2018,8,7463,2637
CHPD,AVA,2018,9,3736,697
CHPD,AVA,2018,10,10490,5456
CHPD,AVA,2018,11,11137,12449
CHPD,AVA,2018,12,11892,10927
CHPD,BPAT,2018,1,12110,525770
CHPD,BPAT,2018,2,9891,509705
CHPD,BPAT,2018,3,12460,495399
CHPD,BPAT,2018,4,12755,634980
CHPD,BPAT,2018,5,19334,933134
CHPD,BPAT,2018,6,20738,1118305
CHPD,BPAT,2018,7,23038,1013078
CHPD,BPAT,2018,8,20394,822168
CHPD,BPAT,2018,9,17938,503497
CHPD,BPAT,2018,10,13336,396102
CHPD,BPAT,2018,11,11286,374388
CHPD,BPAT,2018,12,11893,349624
CHPD,DOPD,2018,1,13410,46943
CHPD,DOPD,2018,2,13616,77343
CHPD,DOPD,2018,3,13502,49606
CHPD,DOPD,2018,4,17724,74170
CHPD,DOPD,2018,5,10775,48763
CHPD,DOPD,2018,6,15889,69135
CHPD,DOPD,2018,7,8885,50579
CHPD,DOPD,2018,8,7380,25697
CHPD,DOPD,2018,9,2715,7140
CHPD,DOPD,2018,10,10451,5763
CHPD,DOPD,2018,11,12064,8050
CHPD,DOPD,2018,12,10189,22478
CHPD,PSEI,2018,1,12437,165881
CHPD,PSEI,2018,2,9997,174004
CHPD,PSEI,2018,3,14453,178541
CHPD,PSEI,2018,4,11832,179667
CHPD,PSEI,2018,5,12325,163719
CHPD,PSEI,2018,6,11214,146341
CHPD,PSEI,2018,7,12764,112654
CHPD,PSEI,2018,8,13300,104878
CHPD,PSEI,2018,9,14280,97200
CHPD,PSEI,2018,10,17169,130027
CHPD,PSEI,2018,11,13328,148133
CHPD,PSEI,2018,12,14653,136345
CISO,BANC,2018,1,10,250
CISO,BANC,2018,2,600,8761
CISO,BANC,2018,3,733,3603
CISO,BANC,2018,4,2784,26436
CISO,BANC,2018,5,106,444
CISO,BANC,2018,7,3174,29459
CISO,BANC,2018,8,605,7365
CISO,BANC,2018,9,93,718
CISO,BANC,2018,10,13344,187872
CISO,BANC,2018,11,4683,100425
CISO,BANC,2018,12,2215,16912
CISO,BPAT,2018,4,132,1700
CISO,BPAT,2018,10,171,1487
CISO,BPAT,2018,11,197,1578
CISO,BPAT,2018,12,209,5040
CISO,CEN,2018,7,11229,113592
CISO,CEN,2018,8,11874,169970
CISO,CEN,2018,9,7356,66483
CISO,CEN,2018,10,9124,25940
CISO,CEN,2018,11,3803,7196
CISO,CEN,2018,12,2945,2898
CISO,CFE,2018,1,7704,6732
CISO,CFE,2018,2,6387,13284
CISO,CFE,2018,3,6893,5676
CISO,CFE,2018,4,8223,7250
CISO,CFE,2018,5,11357,23079
CISO,CFE,2018,6,10783,37289
CISO,CFE,2018,7,8,331
CISO,IID,2018,1,1386,1002
CISO,IID,2018,2,636,543
CISO,IID,2018,3,219,627
CISO,IID,2018,4,78,74
CISO,IID,2018,5,1513,3411
CISO,IID,2018,6,1605,2465
CISO,IID,2018,7,6890,37005
CISO,IID,2018,8,5394,32789
CISO,IID,2018,9,4746,25690
CISO,IID,2018,10,14,92
CISO,LDWP,2018,3,151,2104
CISO,LDWP,2018,4,520,6647
CISO,LDWP,2018,5,78,240
CISO,LDWP,2018,6,103,1026
CISO,NEVP,2018,1,3800,10521
CISO,NEVP,2018,2,7566,36413
CISO,NEVP,2018,3,9342,79339
CISO,NEVP,2018,4,10705,80352
CISO,NEVP,2018,5,11896,87769
CISO,NEVP,2018,6,10841,121060
CISO,NEVP,2018,7,11790,155915
CISO,NEVP,2018,8,10353,151606
CISO,NEVP,2018,9,10496,93197
CISO,NEVP,2018,10,8510,29389
CISO,NEVP,2018,11,10757,78664
CISO,NEVP,2018,12,9635,60248
CISO,PACW,2018,2,60,20
CISO,PACW,2018,3,253,18
CISO,PACW,2018,4,51,21
CISO,PACW,2018,5,24,43
CISO,PACW,2018,7,1703,270
CISO,PACW,2018,8,431,325
CISO,PACW,2018,9,31,10
CISO,PACW,2018,10,410,16
CISO,PACW,2018,11,19,6
CISO,SRP,2018,3,597,2024
